,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
336,IDN,TRADEGOOD,EXP,MLN_USD,A,2014,175292.8
337,IDN,TRADEGOOD,EXP,MLN_USD,A,2015,149124.5
338,IDN,TRADEGOOD,EXP,MLN_USD,A,2016,144469.8
339,IDN,TRADEGOOD,EXP,MLN_USD,A,2017,168853.8
340,IDN,TRADEGOOD,IMP,MLN_USD,A,2013,176256.0
341,IDN,TRADEGOOD,IMP,MLN_USD,A,2014,168310.2
342,IDN,TRADEGOOD,IMP,MLN_USD,A,2015,135075.9
343,IDN,TRADEGOOD,IMP,MLN_USD,A,2016,129151.8
344,IDN,TRADEGOOD,IMP,MLN_USD,A,2017,150068.6
345,ISR,TRADEGOOD,EXP,MLN_USD,A,2013,63063.0
346,ISR,TRADEGOOD,EXP,MLN_USD,A,2014,64218.7
347,ISR,TRADEGOOD,EXP,MLN_USD,A,2015,57203.1
348,ISR,TRADEGOOD,EXP,MLN_USD,A,2016,56137.0
349,ISR,TRADEGOOD,EXP,MLN_USD,A,2017,58668.6
350,ISR,TRADEGOOD,IMP,MLN_USD,A,2013,70591.7
351,ISR,TRADEGOOD,IMP,MLN_USD,A,2014,71032.8
352,ISR,TRADEGOOD,IMP,MLN_USD,A,2015,60441.8
353,ISR,TRADEGOOD,IMP,MLN_USD,A,2016,63902.1
354,ISR,TRADEGOOD,IMP,MLN_USD,A,2017,68611.9
355,RUS,TRADEGOOD,EXP,MLN_USD,A,2013,521835.5
356,RUS,TRADEGOOD,EXP,MLN_USD,A,2014,496806.1
357,RUS,TRADEGOOD,EXP,MLN_USD,A,2015,341419.1
358,RUS,TRADEGOOD,EXP,MLN_USD,A,2016,281709.0
359,RUS,TRADEGOOD,EXP,MLN_USD,A,2017,353547.4
360,RUS,TRADEGOOD,IMP,MLN_USD,A,2013,341269.2
361,RUS,TRADEGOOD,IMP,MLN_USD,A,2014,307875.4
362,RUS,TRADEGOOD,IMP,MLN_USD,A,2015,193021.1
363,RUS,TRADEGOOD,IMP,MLN_USD,A,2016,191494.3
364,RUS,TRADEGOOD,IMP,MLN_USD,A,2017,238125.4
365,SVN,TRADEGOOD,EXP,MLN_USD,A,2013,28796.19
366,SVN,TRADEGOOD,EXP,MLN_USD,A,2014,30464.71
367,SVN,TRADEGOOD,EXP,MLN_USD,A,2015,26666.99
368,SVN,TRADEGOOD,EXP,MLN_USD,A,2016,27635.75
369,SVN,TRADEGOOD,EXP,MLN_USD,A,2017,32084.06
370,SVN,TRADEGOOD,IMP,MLN_USD,A,2013,27855.79
