GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
2662032.87,580107.3,14.31,11.61,0,0,0,1,23
2701322.72,554019.8,22.35,8.21,1,2,0,0,23
2701322.72,554019.8,14.36,11.59,0,2,0,0,23
2701322.72,521999.2,22.35,8.21,1,2,0,1,23
2701322.72,521999.2,14.36,11.59,0,2,0,1,23
2765184.87,558713.2,22.02,8.43,1,3,0,0,23
2765184.87,558713.2,6.95,14.96,2,3,0,0,23
2765184.87,558713.2,14.22,11.81,0,3,0,0,23
2765184.87,520507.2,22.02,8.43,1,3,0,1,23
2765184.87,520507.2,6.95,14.96,2,3,0,1,23
2765184.87,520507.2,14.22,11.81,0,3,0,1,23
2876059.48,607623.3,22.15,8.59,1,4,0,0,23
2876059.48,607623.3,7.02,14.47,2,4,0,0,23
2876059.48,607623.3,14.29,11.64,0,4,0,0,23
2876059.48,553317.6,22.15,8.59,1,4,0,1,23
2876059.48,553317.6,7.02,14.47,2,4,0,1,23
2876059.48,553317.6,14.29,11.64,0,4,0,1,23
39529.07,638702.4,22.54,7.72,1,1,0,0,23
39529.07,638702.4,6.2,14.54,2,1,0,0,23
39529.07,638702.4,14.02,11.27,0,1,0,0,23
39529.07,582088.6,22.54,7.72,1,1,0,1,23
39529.07,582088.6,6.2,14.54,2,1,0,1,23
39529.07,582088.6,14.02,11.27,0,1,0,1,23
40144.66,636165.7,22.49,8.15,1,0,0,0,23
40144.66,636165.7,6.74,14.82,2,0,0,0,23
40144.66,636165.7,14.31,11.61,0,0,0,0,23
40144.66,580107.3,22.49,8.15,1,0,0,1,23
40144.66,580107.3,6.74,14.82,2,0,0,1,23
40144.66,580107.3,14.31,11.61,0,0,0,1,23
40564.66,554019.8,22.35,8.21,1,2,0,0,23
40564.66,554019.8,14.36,11.59,0,2,0,0,23
40564.66,521999.2,22.35,8.21,1,2,0,1,23
40564.66,521999.2,14.36,11.59,0,2,0,1,23
41357.84,558713.2,22.02,8.43,1,3,0,0,23
41357.84,558713.2,6.95,14.96,2,3,0,0,23
