LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
USA,TRADEGOOD,IMP,MLN_USD,A,2016,2208008,
USA,TRADEGOOD,IMP,MLN_USD,A,2017,2360879,
BRA,TRADEGOOD,EXP,MLN_USD,A,2013,241577.3,
BRA,TRADEGOOD,EXP,MLN_USD,A,2014,224097.8,
BRA,TRADEGOOD,EXP,MLN_USD,A,2015,190092,
BRA,TRADEGOOD,EXP,MLN_USD,A,2016,184452.9,
BRA,TRADEGOOD,EXP,MLN_USD,A,2017,217242.7,
BRA,TRADEGOOD,IMP,MLN_USD,A,2013,241188.7,
BRA,TRADEGOOD,IMP,MLN_USD,A,2014,230727,
BRA,TRADEGOOD,IMP,MLN_USD,A,2015,172422.2,
BRA,TRADEGOOD,IMP,MLN_USD,A,2016,139415.9,
BRA,TRADEGOOD,IMP,MLN_USD,A,2017,153214.5,
CHL,TRADEGOOD,EXP,MLN_USD,A,2013,76769.94,
CHL,TRADEGOOD,EXP,MLN_USD,A,2014,75064.7,
CHL,TRADEGOOD,EXP,MLN_USD,A,2015,62035.09,
CHL,TRADEGOOD,EXP,MLN_USD,A,2016,60733.44,
CHL,TRADEGOOD,EXP,MLN_USD,A,2017,69229.87,
CHL,TRADEGOOD,IMP,MLN_USD,A,2013,74754.5,
CHL,TRADEGOOD,IMP,MLN_USD,A,2014,68598.85,
CHL,TRADEGOOD,IMP,MLN_USD,A,2015,58608.96,
CHL,TRADEGOOD,IMP,MLN_USD,A,2016,55293.2,
CHL,TRADEGOOD,IMP,MLN_USD,A,2017,61307.65,
CHN,TRADEGOOD,EXP,MLN_USD,A,2013,2148589,
CHN,TRADEGOOD,EXP,MLN_USD,A,2014,2243761,
CHN,TRADEGOOD,EXP,MLN_USD,A,2015,2142754,
CHN,TRADEGOOD,EXP,MLN_USD,A,2016,1989519,
CHN,TRADEGOOD,EXP,MLN_USD,A,2017,2216458,
CHN,TRADEGOOD,IMP,MLN_USD,A,2013,1789608,
CHN,TRADEGOOD,IMP,MLN_USD,A,2014,1808720,
CHN,TRADEGOOD,IMP,MLN_USD,A,2015,1566562,
